name,links
PyCon US 2008,"['https://www.youtube.com/user/pycon08/videos', 'http://devrel.qiniucdn.com/data/20100821103952/index.html']"
PyCon UA 2012 (Ukraine),"['https://web.archive.org/web/20121011232215/http://ua.pycon.org/speaking/schedule', 'https://www.youtube.com/playlist?list=PLq8sY4Lwwt2-JpSnMZErwBTc6zHraBajU', 'https://www.youtube.com/playlist?list=PL7sYAFudE7X1wb54NOiMaRkE5RUbJZrG5']"
PyCon IT 2014,"['https://www.youtube.com/playlist?list=PLoVkZne_untb48D3BX8q-MvHTWidGq2yv', 'https://www.pycon.it/en/sprints/schedule/pycon5/list/']"
PyCon CA 2015,"['https://www.youtube.com/playlist?list=PLFE1rxhwe5Kb6vcYfessrg62QGOwNOkoL', 'https://2015.pycon.ca/en/schedule/']"
SciPy 2015,"['https://www.youtube.com/playlist?list=PLYx7XA2nY5Gcpabmu61kKcToLz0FapmHu', 'https://www.eiseverywhere.com/ehome/115969/297898/?&']"
EuroSciPy 2015,"['https://www.youtube.com/playlist?list=PLYx7XA2nY5GeQCCugyvtnHMVLdhYlrRxH', 'https://www.euroscipy.org/2015/schedule/esp2015-general-sessions/']"
DjangoCon EU 2013,"['https://www.youtube.com/playlist?list=PLGGzV8mUnZt6L8hA1C5ExkH9rs4iqBux-', 'http://djangocircus.com/talks/', 'http://2013.djangocon.eu/talks/']"
DjangoCon EU 2014,"['https://www.youtube.com/playlist?list=PLoVkZne_untZcaNtgSHx9QfrT4nXdGe1K', 'http://2014.djangocon.eu/talks/']"
DjangoCon EU 2015,"['http://2015.djangocon.eu/talks/', 'https://vimeo.com/channels/952478/videos']"
PyData Seattle 2015,"['https://www.youtube.com/playlist?list=PLGVZCDnMOq0rbLTVoHGS2xcvp5E0ouOe8', 'http://seattle.pydata.org/schedule/']"
PyData NYC 2014,"['https://www.youtube.com/playlist?list=PLGVZCDnMOq0phx05aUcISW2JQk0iF6hS8', 'http://pydata.org/nyc2014/schedule/']"
PyData NYC 2015,"['https://www.youtube.com/playlist?list=PLGVZCDnMOq0ourWlul1F7aYE30VQPaMRL', 'http://nyc2015.pydata.org/schedule/']"
PyData London 2015,"['https://www.youtube.com/playlist?list=PLGVZCDnMOq0q6hrjJA56bq18eHtGusYJK', 'http://pydata.org/london2015/schedule/index.html']"
